ID,Name,Source,StandardCost,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,LargePhoto,EnglishDescription,StartDate,EndDate,Status,All,Productgroup,SortID,GM,Link,Facility,"A.1| ""All items""",ProductLineID,ProductgroupID,ColorID,ClassID,NameID,Lock,Year (start day)
565,"Touring-3000 Blue, 54 (565)",User,401,Blue,100,75,445,54,54-58 CM,13000,4,Touring,445,L,U,Touring-3000,,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",7/01/2013 0:00,,Current,All,Street,,44,,Australia,All items,1,1,2,2,4,,2013
573,"Touring-1000 Blue, 46 (573)",User,1287,Blue,100,75,1430,46,42-46 CM,13000,4,Touring,1430,H,U,Touring-1000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEHNGDbTlk2SwVtGEKUg529vqmqG_xFaAmFw&usqp=CAU,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,7/01/2013 0:00,,Current,All,Street,,143,,Australia,All items,1,1,2,3,12,,2013
574,"Touring-1000 Blue, 50 (574)",User,1287,Blue,100,75,1430,50,48-52 CM,13000,4,Touring,1430,H,U,Touring-1000,,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,7/01/2013 0:00,,Current,All,Street,,143,,Australia,All items,1,1,2,3,11,,2013
575,"Touring-1000 Blue, 54 (575)",User,1287,Blue,100,75,1430,54,54-58 CM,13000,4,Touring,1430,H,U,Touring-1000,,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,7/01/2013 0:00,,Current,All,Street,,143,,Australia,All items,1,1,2,3,10,,2013
576,"Touring-1000 Blue, 60 (576)",User,1287,Blue,100,75,1430,60,60-62 CM,13000,4,Touring,1430,H,U,Touring-1000,,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,7/01/2013 0:00,,Current,All,Street,,143,,Australia,All items,1,1,2,3,9,,2013
584,"Road-750 Black, 58 (584)",User,292,Blue,100,75,324,58,54-58 CM,13000,4,Road,324,L,U,Road-750,,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,7/01/2013 0:00,,Current,All,Active,,32,,USA,All items,3,4,2,2,19,,2013
601,LL Bottom Bracket (601),User,29,Blue,500,375,32,Unisize,Unisize,13000,1,Accessories,32,L,,LL Bottom Bracket,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrDZ5IPywBexwpp12DSrZGAKIquompy9bwoA&usqp=CAU,Chromoly steel.,7/01/2013 0:00,,Current,All,Accessory,,3,,,All items,5,5,2,2,59,,2013
604,"Road-750 Black, 44 (604)",User,292,Blue,100,75,324,44,42-46 CM,13000,4,Road,324,L,U,Road-750,,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,7/01/2013 0:00,,Current,All,Active,,32,,USA,All items,3,4,2,2,22,,2013
605,"Road-750 Black, 48 (605)",User,292,Blue,100,75,324,48,48-52 CM,13000,4,Road,324,L,U,Road-750,,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,7/01/2013 0:00,,Current,All,Active,,32,,USA,All items,3,4,2,2,21,,2013
606,"Road-750 Black, 52 (606)",User,292,Blue,120,75,324,52,48-52 CM,13000,4,Road,324,L,U,Road-750,,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,7/01/2013 0:00,,Current,All,Active,,32,,USA,All items,3,4,2,2,20,,2013
607,Betterfpa@acterys.onmicrosoft.com_2024-04-08T07:54:41.517Z,User,40,Black,,,,,,,,Mountain,,,,,,,10/04/2024 0:00,,✅,,Mountain,,-40,,,All items,,,,,,,2024
608,Betterfpa@acterys.onmicrosoft.com_2024-04-09T08:25:04.723Z,User,40,Black,,,,,,,,Road,,,,,,,10/04/2024 0:00,,✅,,,,-40,,,All items,,,,,,,2024
